Node_Id_1,Node_Id_2
100012925,103088329
1000591,115485051
1000591,1422311
1000591,1717291
1000591,2384071
1000591,324
1000591,3713811
1000591,37570179
1000591,41713
1000591,5965332
1000591,617373
1000591,8962882
100067941,167705704
100067941,29565947
100067941,53399369
10010852,16243471
10010852,45406850
10010852,61592079
100136358,11736562
100164368,43024351
10022832,20031977
10022832,25584713
1002351,18874097
1002351,22021978
1002351,84563846
1002351,85794542
100286635,15929867
100286635,17610785
100286635,250746940
100286635,25697744
100286635,3359851
100286635,40519997
100286635,42040091
100286635,49785880
100286635,63240389
100286635,81206437
100286635,96450127
100314530,115485051
100314530,16792453
100314530,27958687
100314530,33464639
100314530,3359851
100314530,37170886
100314530,42856821
100314530,50710294
100314530,94860638
100336581,759251
1004,1000591
1004,3829151
10048062,19619047
100518634,118086392
100518634,121533789
100518634,180829837
100518634,30734523
100518634,34428380
100518634,41110545
100518634,43003845
100518634,47070076
100518634,85102611
100614511,137982546
100614511,17111909
100614511,17235469
100614511,19647878
100614511,19677696
100614511,198157799
100614511,20458823
100614511,20765126
100614511,21076998
100614511,21324483
100614511,21816442
100614511,32421348
100614511,45561740
100614511,98513781
100614511,99571358
100649666,104066691
100649666,104155395
100649666,141021153
100649666,15216860
100649666,15993650
100649666,160942436
100649666,161418822
100649666,18776017
100649666,204089551
100649666,22784458
100649666,276650957
100649666,3359851
100649666,45175547
100649666,456760820
100649666,51899148
100651739,304063073
100651739,618593
10068722,10935622
10068722,15178133
10068722,16497976
10068722,18087370
10068722,7780852
10068722,9645732
10076782,19626842
10076782,22842421
101008987,214680621
101019485,88066441
101064885,16125588
101064885,43003845
101064885,68526677
10107362,15828148
10107362,16069548
10107362,1797531
10107362,19216561
10107362,765
10107362,862481
10115042,13078
10115042,14609321
10115042,14692604
10115042,18776017
10115042,19550535
10115042,245396123
10115042,43024351
10115402,115485051
10115402,14245378
10115402,16129920
10135132,14231571
10135132,6814192
101435350,120921934
101435350,14738260
101435350,15217406
101435350,161098135
101435350,167553372
101435350,246064878
101435350,25014145
101435350,26281970
101435350,318549400
101435350,318576058
101435350,42361118
101633415,115485051
101633415,116807493
101633415,14609321
101633415,14692604
101633415,14922225
101633415,14983833
101633415,15666380
101633415,16513135
101633415,17037417
101633415,17552077
101633415,18776017
101633415,19089252
101633415,19413393
101633415,20152005
101633415,22784458
101633415,245396123
101633415,24818053
101633415,314801629
101633415,40266720
101633415,42361118
101633415,43170475
101633415,43205927
101633415,47161442
101633415,61475880
101633415,69679166
101633415,82500164
101633415,89595997
101633415,9873502
101658059,31353077
101658059,53815969
101802390,81121879
101841500,14734870
101841500,22334880
101841500,69802536
101841500,82526708
101877159,13213122
101877159,19923144
10191272,1242511
10191272,12477472
10191272,14245253
10191272,446672326
10191272,54275864
101948599,43003845
102139144,34428380
102139144,43003845
102145825,115485051
102145825,34711597
102150345,43385785
102150345,50004191
102150345,73689526
102168331,19780355
102168331,28471924
10218852,16540939
10218852,18544727
10218852,211257941
10218852,6368672
102193655,14193189
102238997,18776942
102238997,292929561
102238997,29546945
102264848,118253507
102264848,14861701
102264848,17019535
102264848,30433454
102264848,375971107
102264848,398496984
102264848,47306483
102264848,88097712
102278432,61197041
10230982,19016569
10230982,20031977
10230982,25584713
1024471,3829151
1024471,5704082
1024471,7128492
1024471,767396
102703280,271113097
102786832,119522199
102786832,23477141
102786832,34082952
102786832,34781702
102786832,64814348
102786832,71324635
102786832,94350514
102796870,38108292
10295842,14537182
10295842,15649735
10295842,2384071
10295842,80703
10305212,10305212
10305212,14227938
10305212,842291
10305212,9930742
103080181,106816456
103080181,10742132
103080181,28471924
103092442,18963070
103092442,34805698
103107148,34428380
103107148,43003845
103107148,81704742
10336822,10545
10336822,11250
10336822,12158
10336822,13567
103394477,205710774
103394477,25884760
103394477,34690781
10350412,115485051
10350412,15668559
10350412,18963070
10350412,20627649
10350412,22784458
10350412,5392522
10359172,2384071
10359172,643443
103650790,111025087
103650790,21173505
103650790,64149107
103812814,15494342
103812814,25904310
103812814,297951485
103812814,63240389
10386662,23649104
10386662,46650115
10386662,8464692
103943240,15176366
103993849,18655567
103993849,37238862
103993849,49164309
103993849,91981827
104060098,14282153
104060098,153181186
104060098,18234247
104060098,41825972
104060098,4230121
104060098,91637390
104066691,100649666
104066691,105643923
104066691,119121697
104066691,141021153
104066691,15993650
104066691,161418822
104066691,18963070
104066691,204089551
104066691,206570317
104066691,223658187
104066691,22784458
